app,fixture,run,status,window_proxy_ms,checkpoint_rss_mib,checkpoint_private_mib,checkpoint_processes,cpu_ms_per_second,sample_duration_s,exe_sha256,fixture_sha256
markpad,ordinary-5k.md,1,window-observed,21.203,438.254,273.262,7,262.023,1.0137,8cbde9e19bc01fad952f7f3b3276ebc003ac963483334f64f9f1c95be4b146b7,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d
typora,ordinary-5k.md,5,window-observed,328.498,595.434,466.777,5,0.0,1.0117,3a1807daf4f0f9e8d1257fac5f61429e9535debf230ffece8b7d931749108a57,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d
markpad,gfm-math-images-100k.md,5,window-observed,22.897,619.703,440.215,7,123.688,1.0106,8cbde9e19bc01fad952f7f3b3276ebc003ac963483334f64f9f1c95be4b146b7,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594
fmv-0.2.1,ordinary-5k.md,3,window-observed,21.89,132.43,159.523,1,0.0,1.0104,f10ddcf8f482b3c50ae1df905a04c24441ceb1fb02370742f8ca38a459529d66,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d
md-preview,ordinary-5k.md,1,window-observed,20.817,404.0,231.266,7,0.0,1.0103,d24eb9ea9b38f1e57f40d76eec919ae319494a4764ef1e64975e50f5a4b1b10f,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d
fmv-0.2.1,ordinary-5k.md,1,window-observed,22.8,132.285,159.277,1,0.0,1.0108,f10ddcf8f482b3c50ae1df905a04c24441ceb1fb02370742f8ca38a459529d66,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d
vscode-preview,ordinary-5k.md,4,window-observed,300.56,2138.43,1826.238,14,694.529,1.0124,c933b1301979abb102ded0b5c28c5c417fcb09411b15f5ff2484c8bb896cf9ef,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d
aydiler,gfm-math-images-100k.md,3,window-observed,22.375,255.266,342.234,1,0.0,1.0111,c5fe8c07f3cd1678bd24c1b5ab55f5374932c0cba81deff5021b23270f30e44a,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594
vscode-preview,gfm-math-images-100k.md,4,window-observed,768.615,2271.758,1953.605,11,1160.317,1.0234,c933b1301979abb102ded0b5c28c5c417fcb09411b15f5ff2484c8bb896cf9ef,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594
mdview-zig,ordinary-5k.md,1,window-observed,22.804,42.23,59.828,1,15.455,1.011,29f2b042e99deccc584ce0f44fe553320bae7682727dc2c9de9977ae59bc77be,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d
