app,fixture,run,status,window_proxy_ms,checkpoint_rss_mib,checkpoint_private_mib,checkpoint_processes,cpu_ms_per_second,sample_duration_s,exe_sha256,fixture_sha256
fmv,stress-2m.md,2,window-observed,374.435,427.668,366.719,1,1024.664,1.0052,60dc3377d0280fb2e48f54660d7cfebc5ee5f1334d2e23be9a844bde60045d7a,009f32e8adcad5a962d96c6f864fb0412255cf4ed4b2b0c6aa0f684395daa23e
marky,gfm-math-images-100k.md,2,window-observed,68.151,800.852,506.605,3,922.574,1.008,d9e29b70534adf2c2b6004de8c98cf81521ae158944a708b4fcdd21d7c99e452,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594
obsidian,stress-2m.md,3,renderer-exited,763.232,191.598,94.773,5,0.0,1.0059,4d5379efcd4909bc9a9bff25636d9ef39ee4677cc83af9d285d7d89792015739,009f32e8adcad5a962d96c6f864fb0412255cf4ed4b2b0c6aa0f684395daa23e
typora,ordinary-5k.md,3,window-observed,799.956,787.52,335.414,6,0.0,1.0096,3d3804b5be42dedab376be01ac2dd19d60995d04d7b0f2938daac8d9f561a8ff,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d
marktext,stress-2m.md,3,window-observed,1338.084,1305.113,204.18,5,9.914,1.0087,6d2a2ce754b755637076692a502cd29165d80d1b773d5b5482f4bfccf76a2acf,009f32e8adcad5a962d96c6f864fb0412255cf4ed4b2b0c6aa0f684395daa23e
aydiler,ordinary-5k.md,5,window-observed,407.142,299.336,291.84,1,0.0,1.0042,cb1f70db3b2150b91e7d49bb140c794a04ce0ab8e04d88d69727dbddcbac9a39,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d
obsidian,ordinary-5k.md,3,window-observed,541.075,811.816,341.531,6,0.0,1.0103,4d5379efcd4909bc9a9bff25636d9ef39ee4677cc83af9d285d7d89792015739,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d
vscode-preview,gfm-math-images-100k.md,2,window-observed,930.178,2223.582,547.562,10,117.736,1.0192,5dcf32d814a227f8626426e00708caa6c8f5469980322265a1c398a6458082bc,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594
obsidian,stress-2m.md,2,renderer-exited,494.309,186.887,90.254,5,-8355.358,1.0065,4d5379efcd4909bc9a9bff25636d9ef39ee4677cc83af9d285d7d89792015739,009f32e8adcad5a962d96c6f864fb0412255cf4ed4b2b0c6aa0f684395daa23e
mdview-zig,gfm-math-images-100k.md,3,exited--11,,0.0,0.0,0,0.0,1.0023,7b3326a555c0d319e217b217932eef9369d9021322f68a4e7e0309d7a515655e,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594
markmello,stress-2m.md,2,window-observed,842.16,1123.855,1118.773,1,1000.075,1.0099,dbd3760216650d16334de575263ba71d9234a9333ba7d673dbadbac260353705,009f32e8adcad5a962d96c6f864fb0412255cf4ed4b2b0c6aa0f684395daa23e
vscode-preview,gfm-math-images-100k.md,4,window-observed,719.169,2249.918,559.145,10,167.134,1.0172,5dcf32d814a227f8626426e00708caa6c8f5469980322265a1c398a6458082bc,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594
mdview-zig,stress-2m.md,4,exited--11,,0.0,0.0,0,0.0,1.0021,7b3326a555c0d319e217b217932eef9369d9021322f68a4e7e0309d7a515655e,009f32e8adcad5a962d96c6f864fb0412255cf4ed4b2b0c6aa0f684395daa23e
obsidian,stress-2m.md,1,renderer-exited,486.154,191.633,94.203,5,-5055.669,1.0068,4d5379efcd4909bc9a9bff25636d9ef39ee4677cc83af9d285d7d89792015739,009f32e8adcad5a962d96c6f864fb0412255cf4ed4b2b0c6aa0f684395daa23e
vscode-preview,gfm-math-images-100k.md,3,window-observed,756.948,2248.004,574.781,10,59.241,1.0128,5dcf32d814a227f8626426e00708caa6c8f5469980322265a1c398a6458082bc,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594
md-preview,ordinary-5k.md,4,window-observed,169.199,607.73,327.699,3,614.446,1.009,06dc8f0622977971d368cd3243913f0c5502bb399802a429130bb1e0b53f2b87,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d
mdview-zig,gfm-math-images-100k.md,1,exited--11,,0.0,0.0,0,0.0,1.0024,7b3326a555c0d319e217b217932eef9369d9021322f68a4e7e0309d7a515655e,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594
marktext,stress-2m.md,4,window-observed,1933.017,1314.645,204.387,5,9.927,1.0074,6d2a2ce754b755637076692a502cd29165d80d1b773d5b5482f4bfccf76a2acf,009f32e8adcad5a962d96c6f864fb0412255cf4ed4b2b0c6aa0f684395daa23e
md-preview,gfm-math-images-100k.md,5,window-observed,58.149,737.953,455.527,3,702.583,1.0106,06dc8f0622977971d368cd3243913f0c5502bb399802a429130bb1e0b53f2b87,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594
marktext,gfm-math-images-100k.md,2,window-observed,1009.068,929.133,203.781,5,9.916,1.0084,6d2a2ce754b755637076692a502cd29165d80d1b773d5b5482f4bfccf76a2acf,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594
aydiler,ordinary-5k.md,2,window-observed,330.428,294.238,286.68,1,0.0,1.0043,cb1f70db3b2150b91e7d49bb140c794a04ce0ab8e04d88d69727dbddcbac9a39,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d
marky,ordinary-5k.md,3,window-observed,106.618,705.609,417.367,3,771.596,1.0109,d9e29b70534adf2c2b6004de8c98cf81521ae158944a708b4fcdd21d7c99e452,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d
