renderer,fixture,status,exit_code,sampled_peak_bytes,output,error,run
rusty-text,class.mmd,ok,0,9052160,render_ms=0.276 font_ms=0.730 raster_ms=0.949 pipeline_ms=2.050 svg_bytes=2191 width=184 height=213,,2
rusty-text,er.mmd,ok,0,2998272,render_ms=0.269 font_ms=0.640 raster_ms=1.012 pipeline_ms=2.022 svg_bytes=2735 width=160 height=225,,2
rusty-text,flowchart.mmd,ok,0,9359360,render_ms=0.333 font_ms=0.607 raster_ms=1.016 pipeline_ms=2.047 svg_bytes=2835 width=492 height=156,,2
rusty-text,gantt.mmd,ok,0,10047488,render_ms=0.134 font_ms=0.623 raster_ms=1.556 pipeline_ms=2.403 svg_bytes=4206 width=840 height=226,,2
rusty-text,gitgraph.mmd,ok,0,2682880,render_ms=0.110 font_ms=0.619 raster_ms=0.691 pipeline_ms=1.516 svg_bytes=1472 width=357 height=200,,2
rusty-text,invalid-trailing.mmd,error,2,3981312,,"ERROR: unexpected token at byte 64: ""???""",2
rusty-text,invalid.mmd,error,2,3915776,,"ERROR: unexpected token at byte 0: ""notADiagram
    {{{ unexpected input""",2
rusty-text,labels.mmd,ok,0,7983104,render_ms=0.288 font_ms=0.639 raster_ms=1.231 pipeline_ms=2.246 svg_bytes=1441 width=756 height=90,,2
rusty-text,malformed-flowchart.mmd,ok,0,8384512,render_ms=0.209 font_ms=0.708 raster_ms=0.383 pipeline_ms=1.395 svg_bytes=487 width=81 height=73,,2
rusty-text,mindmap.mmd,ok,0,10567680,render_ms=0.160 font_ms=0.625 raster_ms=1.671 pipeline_ms=2.548 svg_bytes=3616 width=472 height=542,,2
rusty-text,oversize.mmd,error,2,3973120,,ERROR: Diagram exceeds prototype's 64 KiB input limit,2
rusty-text,pie.mmd,ok,0,2686976,render_ms=0.103 font_ms=0.625 raster_ms=1.090 pipeline_ms=2.021 svg_bytes=1805 width=620 height=420,,2
rusty-text,sequence-realistic.mmd,ok,0,2682880,render_ms=0.175 font_ms=0.605 raster_ms=3.267 pipeline_ms=4.174 svg_bytes=7166 width=775 height=574,,2
rusty-text,sequence.mmd,ok,0,3833856,render_ms=0.127 font_ms=0.615 raster_ms=1.187 pipeline_ms=2.026 svg_bytes=2873 width=353 height=254,,2
rusty-text,state.mmd,ok,0,9043968,render_ms=0.323 font_ms=0.648 raster_ms=3.807 pipeline_ms=4.872 svg_bytes=2589 width=154 height=238,,2
rusty-text,styled.mmd,ok,0,2682880,render_ms=0.277 font_ms=0.675 raster_ms=0.700 pipeline_ms=1.746 svg_bytes=1292 width=300 height=73,,2
rusty-text,unicode.mmd,ok,0,51769344,render_ms=0.330 font_ms=8.920 raster_ms=1.332 pipeline_ms=10.673 svg_bytes=2518 width=794 height=73,,2
rusty-text,workflow.mmd,ok,0,20340736,render_ms=1.206 font_ms=0.653 raster_ms=5.290 pipeline_ms=7.239 svg_bytes=10359 width=956 height=1335,,2
selkie-text,chain-200.mmd,ok,0,30896128,render_ms=33.892 font_ms=0.864 raster_ms=20.964 pipeline_ms=55.814 svg_bytes=105544 width=86 height=20629,,2
selkie-text,chain-2000.mmd,aborted,-1073740791,22343680,,"thread 'main' (26116) panicked at C:\Users\theco\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\selkie-rs-0.3.0\src\layout\dagre\rank\network_simplex.rs:360:9:
dfs_assign recursion overflow: counter=1001, v=N1001, parent=Some(""N1000"")
note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace",2
