variant,fixture,repetition,binary_sha256,fixture_sha256,scroll_median_ms,scroll_p95_ms,final_scroll_offset
fat-z,gfm-math-images-100k.md,6,6578b8208861889d6e68abd4f2713d23ce820956485170d333a9f9f54d733bc0,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594,21.343600000000002,75.7975,8358.706
fat-s,ordinary-5k.md,4,4c6bb79d474e412bd3d1626221f09cfd8dbdb9ff7b5f03e96fce92f47935ca79,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d,0.8612,2.7931000000000004,4500
baseline,ordinary-5k.md,4,be43f888c3e18adabe80eb3b2565f0b5a953ca510e17a194369d1c1b24f6e480,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d,0.7534,3.3518,4500
fat-3,ordinary-5k.md,8,1a3ee96aa78f5cad3fb3239fdf283d5c794dba0926b6cc2a5cd6048967cfc908,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d,0.9264,2.5119000000000002,4500
baseline,gfm-math-images-100k.md,1,be43f888c3e18adabe80eb3b2565f0b5a953ca510e17a194369d1c1b24f6e480,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594,10.7432,41.0784,8358.706
fat-s,ordinary-5k.md,14,4c6bb79d474e412bd3d1626221f09cfd8dbdb9ff7b5f03e96fce92f47935ca79,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d,0.9832000000000001,7.990600000000001,4500
baseline,gfm-math-images-100k.md,5,be43f888c3e18adabe80eb3b2565f0b5a953ca510e17a194369d1c1b24f6e480,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594,11.8194,35.1751,8358.706
baseline,ordinary-5k.md,6,be43f888c3e18adabe80eb3b2565f0b5a953ca510e17a194369d1c1b24f6e480,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d,0.7343999999999999,3.1798,4500
fat-z,ordinary-5k.md,3,6578b8208861889d6e68abd4f2713d23ce820956485170d333a9f9f54d733bc0,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d,1.2068,4.0133,4500
fat-z,gfm-math-images-100k.md,4,6578b8208861889d6e68abd4f2713d23ce820956485170d333a9f9f54d733bc0,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594,26.822300000000002,66.2283,8358.706
